'ICD-9-CM CODE','ICD-9-CM CODE DESCRIPTION','CATEGORY ASSIGNMENT'
'1652',ORBIT EXENT W BONE REMOV,4
'1659',ORBITAL EXENTERATION NEC,4
'1661',2NDRY OCULAR IMP INSERT,4
'1662',REVIS/REINSERT OCUL IMP,4
'1663',REVIS ENUC SOCKET W GRFT,4
'1664',ENUC SOCKET REVIS NEC,4
'1665',2NDRY EXENT CAVITY GRAFT,4
'1666',REVIS EXENTER CAVITY NEC,4
'1669',2ND OP POST EYE REM NEC,4
'1671',REMOVE OCULAR IMPLANT,4
'1672',REMOVE ORBITAL IMPLANT,4
'1681',REPAIR OF ORBITAL WOUND,4
'1682',REPAIR EYEBALL RUPTURE,4
'1689',EYE/ORBIT INJ REPAIR NEC,4
'1691',RETROBULBAR INJECTION,2
'1692',EXCISION ORBITAL LESION,4
'1693',EXCISION EYE LESION NOS,4
'1698',OPERATION ON ORBIT NEC,4
'1699',OPERATION ON EYEBALL NEC,4
'1711',LAP DIR ING HERN-GRAFT (begin 2008),4
'1712',LAP INDIR ING HERN-GRAFT (begin 2008),4
'1713',LAP ING HERN-GRAFT NOS (begin 2008),4
'1721',LAP BIL DIR ING HRN-GRFT (begin 2008),4
'1722',LAP BI INDIR ING HRN-GRF (begin 2008),4
'1723',LAP BI DR/IND ING HRN-GR (begin 2008),4
'1724',LAP BIL ING HERN-GRF NOS (begin 2008),4
'1731',LAP MUL SEG RES LG INTES (begin 2008),4
'1732',LAPAROSCOPIC CECECTOMY (begin 2008),4
'1733',LAP RIGHT HEMICOLECTOMY (begin 2008),4
'1734',LAP RES TRANSVERSE COLON (begin 2008),4
'1735',LAP LEFT HEMICOLECTOMY (begin 2008),4
'1736',LAP SIGMOIDECTOMY (begin 2008),4
'1739',LAP PT EX LRG INTEST NEC (begin 2008),4
'1741',OPEN ROBOTIC ASSIST PROC (begin 2008),2
'1742',LAP ROBOTIC ASSIST PROC (begin 2008),2
'1743',PERC ROBOTIC ASSIST PROC (begin 2008),2
'1744',ENDO ROBOTIC ASSIST PROC (begin 2008),2
'1745',THORACO ROBOTIC AST PROC (begin 2008),2
'1749',ROBOTIC AST PROC NEC/NOS (begin 2008),2
'1751',Implant CCMtotal system (begin 2009),4
'1752',Implant CCM pulse genrtr (begin 2009),4
'1753',PERC ATHER EXTRACRAN VSL (Begin 2011),4
'1754',PERC ATHER INTRACRAN VSL (Begin 2011),4
'1755',TRANSLUM COR ATHERECTOMY (Begin 2011),4
'1756',ATHER OTH NON-COR VESSEL (Begin 2011),4
'1761',LITT lesn brainguidance (begin 2009),4
'1762',LITT les hd/nckguidance (begin 2009),4
'1763',LITT lesn liverguidance (begin 2009),4
'1769',LITT lesn guide oth/NOS (begin 2009),4
'1770',INTRAVENOUS INFUSION OF CLOFARABINE (begin 2009),2
'1771',NON-CORONARY IFVA (Begin 2010),1
'1781',INSERT ANTIMICROBIAL ENV (Begin 2011),2
'1801',PIERCING OF EAR LOBE,2
'1802',EXT AUDITORY CANAL INCIS,2
'1809',EXTERNAL EAR INCIS NEC,2
'1811',OTOSCOPY,1
'1812',EXTERNAL EAR BIOPSY,1
'1819',EXT EAR DIAGNOS PROC NEC,1
'1821',PREAURICULAR SINUS EXCIS,4
'1829',DESTRUCT EXT EAR LES NEC,2
'1831',RAD EXCIS EXT EAR LES,4
'1839',EXCIS EXTERNAL EAR NEC,4
'184 ',SUTURE EXT EAR LAC,2
'185 ',CORRECTION PROMINENT EAR,4
'186 ',EXT AUDIT CANAL RECONSTR,4
'1871',CONSTRUCTION EAR AURICLE,4
'1872',REATTACH AMPUTATED EAR,4
'1879',PLASTIC REP EXT EAR NEC,4
'189 ',OTHER EXT EAR OPERATIONS,4
'190 ',STAPES MOBILIZATION,4
'1911',STAPEDECT W REPLAC INCUS,4
'1919',STAPEDECTOMY NEC,4
'1921',REV STAPDEC W INCUS REPL,4
'1929',STAPEDECTOMY REVIS NEC,4
'193 ',OSSICULAR CHAIN OP NEC,4
'194 ',MYRINGOPLASTY,4
'1952',TYPE 2 TYMPANOPLASTY,4
'1953',TYPE 3 TYMPANOPLASTY,4
'1954',TYPE 4 TYMPANOPLASTY,4
'1955',TYPE 5 TYMPANOPLASTY,4
'196 ',TYMPANOPLASTY REVISION,4
'199 ',MIDDLE EAR REPAIR NEC,4
'2001',MYRINGOTOMY W INTUBATION,4
'2009',MYRINGOTOMY NEC,2
'201 ',TYMPANOSTOMY TUBE REMOVE,2
'2021',MASTOID INCISION,4
'2022',PETRUS PYRAM AIR CEL INC,4
'2023',MIDDLE EAR INCISION,4
'2031',ELECTROCOCHLEOGRAPHY,1
'2032',MID & INNER EAR BIOPSY,3
'2039',MID/IN EAR DX PROC NEC,3
'2041',SIMPLE MASTOIDECTOMY,4
'2042',RADICAL MASTOIDECTOMY,4
'2049',MASTOIDECTOMY NEC,4
'2051',EXCISE MIDDLE EAR LESION,4
'2059',MIDDLE EAR EXCISION NEC,4
'2061',INNER EAR FENESTRATION,4
'2062',REVIS INNER EAR FENESTRA,4
'2071',ENDOLYMPHATIC SHUNT,4
'2072',INNER EAR INJECTION,4
'2079',INC/EXC/DESTR IN EAR NEC,4
'208 ',EUSTACHIAN TUBE OPS,2
'2091',TYMPANOSYMPATHECTOMY,4
'2092',MASTOIDECTOMY REVISION,4
'2093',REPAIR OVAL/ROUND WINDOW,4
'2094',TYMPANIC INJECTION,2
'2095',ELECMAG HEAR DEV IMPLANT,4
'2096',IMPLT COCHLEAR PROST NOS (Begin 1986),4
'2097',IMP/REP SCHAN COCH PROS (Begin 1986),4
'2098',IMP/REP MCHAN COCHL PROS (Begin 1986),4
'2099',MIDINNER EAR OPS NEC,4
'2100',CONTROL OF EPISTAXIS NOS,2
'2101',ANT NASAL PACK FOR EPIST,2
'2102',POST NASAL PAC FOR EPIST,2
'2103',CAUTERY TO STOP EPISTAX,2
'2104',ETHMOID ART LIGATEPIST,4
'2105',MAX ART LIG FOR EPISTAX,4
'2106',EXT CAROT ART LIGEPIST,4
'2107',NASAL SEPT GRFTEPISTAX,4
'2109',EPISTAXIS CONTROL NEC,4
'211 ',INCISION OF NOSE,2
'2121',RHINOSCOPY,1
'2122',NASAL BIOPSY,1
'2129',NASAL DX PROC NEC,1
'2130',NASAL LESION EXCIS NOS,2
'2131',INTRANAS LES DESTRUCTION,2
'2132',NASAL LES DESTRUCT NEC,2
'214 ',RESECTION OF NOSE,4
'215 ',SUBMUC NASAL SEPT RESECT,4
'2161',DIATHER/CRYO TURBINECTOM,4
'2162',TURBINATE FRACTURE,4
'2169',TURBINECTOMY NEC,4
'2171',CLOS REDUCTION NASAL FX,2
'2172',OPEN REDUCTION NASAL FX,4
'2181',NASAL LACERATION SUTURE,2
'2182',NASAL FISTULA CLOSURE,4
'2183',TOT NASAL RECONSTRUCTION,4
'2184',REVISION RHINOPLASTY,4
'2185',AUGMENTATION RHINOPLASTY,4
'2186',LIMITED RHINOPLASTY,4
'2187',RHINOPLASTY NEC,4
'2188',SEPTOPLASTY NEC,4
'2189',NASAL REPAIR NEC,4
'2191',LYSIS OF NASAL ADHESIONS,2
'2199',NASAL OPERATION NEC,4
'2200',SINUS ASPIRAT/LAVAGE NOS,2
'2201',SINUS PUNCT FOR LAVAGE,2
'2202',SINUS LAVAGE THRU OSTIUM,2
'2211',(CLOSED) NASAL SINUS BX (Begin 1980),1
'2212',OPEN BIOPSY NASAL SINUS (Begin 1988),3
'2219',NASAL SINUS DX PROC NEC,1
'222 ',INTRANASAL ANTROTOMY,2
'2231',RADICAL MAXILLARY ANTROT,4
'2239',EXT MAXILLARY ANTROT NEC,4
'2241',FRONTAL SINUSOTOMY,4
'2242',FRONTAL SINUSECTOMY,4
'2250',SINUSOTOMY NOS,4
'2251',ETHMOIDOTOMY,4
'2252',SPHENOIDOTOMY,4
'2253',MULTIPLE SINUS INCISION,4
'2260',SINUSECTOMY NOS,4
'2261',CLUC EXC MAX SINUS LES,4
'2262',EXC MAX SINUS LESION NEC,4
'2263',ETHMOIDECTOMY,4
'2264',SPHENOIDECTOMY,4
'2271',NASAL SINUS FISTULA CLOS,4
'2279',NASAL SINUS REPAIR NEC,4
'229 ',OTHER NASAL SINUS OPS,4
'2301',DECIDUOUS TOOTH EXTRACT,2
'2309',TOOTH EXTRACTION NEC,2
'2311',RESIDUAL ROOT REMOVAL,2
'2319',SURG TOOTH EXTRACT NEC,2
'232 ',TOOTH RESTOR BY FILLING,2
'233 ',TOOTH RESTORAT BY INLAY,2
'2341',CROWN APPLICATION,2
'2342',FIXED BRIDGE INSERTION,2
'2343',INSERT REMOVABLE BRIDGE,2
'2349',DENTAL RESTORATION NEC,2
'235 ',TOOTH IMPLANTATION,2
'236 ',PROSTHET DENTAL IMPLANT,2
'2370',ROOT CANAL NOS,2
'2371',ROOT CANAL W IRRIGATION,2
'2372',ROOT CANAL W APICOECTOMY,2
'2373',APICOECTOMY,2
'240 ',GUM OR ALVEOLAR INCISION,2
'2411',GUM BIOPSY,1
'2412',ALVEOLUS BIOPSY,1
'2419',TOOTH & GUM DX PROC NEC,1
'242 ',GINGIVOPLASTY,4
'2431',GUM LESION EXCISION,2
'2432',SUTURE OF GUM LACERATION,2
'2439',GUM OPERATION NEC,2
'244 ',EXC OF DENTAL LES OF JAW,4
'245 ',ALVEOLOPLASTY,4
'246 ',EXPOSURE OF TOOTH,2
'247 ',ORTHODON APPLIANC APPLIC,2
'248 ',OTHER ORTHODONTIC OPERAT,2
'2491',EXTEN BUCCOLABIAL/SULCUS,2
'2499',DENTAL OPERATION NEC,2
'2501',(CLOSED) BIOPSY OF TONGUE (Begin 1980),1
'2502',(OPEN)OTH BIOPSY OF TONGUE (Begin 1980),3
'2509',TONGUE DX PROCEDURE NEC,1
'251 ',DESTRUCTION TONGUE LES,4
'252 ',PARTIAL GLOSSECTOMY,4
'253 ',COMPLETE GLOSSECTOMY,4
'254 ',RADICAL GLOSSECTOMY,4
'2551',SUTURE OF TONGUE LACERAT,2
'2559',REPAIR OF TONGUE NEC,4
'2591',LINGUAL FRENOTOMY,2
'2592',LINGUAL FRENECTOMY,2
'2593',LYSIS OF TONGUE ADHESION,2
'2594',OTHER GLOSSOTOMY,4
'2599',TONGUE OPERATION NEC,4
'260 ',INCIS SALIVARY GLND/DUCT,2
'2611',(CLOS)BX SALIV GLAND/DUCT (Begin 1980),1
'2612',OPEN BX SALIV GLAND/DUCT (Begin 1988),3
'2619',SALIV GLND DX PROC NEC,1
'2621',SALIVARY CYST MARSUPIAL,4
'2629',SALIV LESION EXCIS NEC,4
'2630',SIALOADENECTOMY NOS,4
'2631',PARTIAL SIALOADENECTOMY,4
'2632',COMPLETE SIALOADENECTOMY,4
'2641',SUTURE OF SALIV GLND LAC,4
'2642',SALIVARY FISTULA CLOSURE,4
'2649',SALIVARY REPAIR NEC,4
'2691',SALIVARY DUCT PROBING,2
'2699',SALIVARY OPERATION NEC,4
'270 ',DRAIN FACE & MOUTH FLOOR,4
'271 ',INCISION OF PALATE,4
'2721',BONY PALATE BIOPSY,3
'2722',UVULA & SOFT PALATE BX,3
'2723',LIP BIOPSY,1
'2724',MOUTH BIOPSY NOS,1
'2729',ORAL CAVITY DX PROC NEC,1
'2731',LOC EXC BONY PALATE LES,4
'2732',WIDE EXC BONY PALATE LES,4
'2741',LABIAL FRENUMECTOMY,2
'2742',WIDE EXCISION OF LIP LES,4
'2743',EXCISION OF LIP LES NEC,4
'2749',EXCISION OF MOUTH NEC,4
'2751',SUTURE OF LIP LACERATION,2
'2752',SUTURE OF MOUTH LAC NEC,2
'2753',CLOSURE OF MOUTH FISTULA,4
'2754',REPAIR OF CLEFT LIP,4
'2755',FULLTHICK GRFT TO MOUTH,4
'2756',SKIN GRAFT TO MOUTH NEC,4
'2757',PEDICLE ATTACH TO MOUTH,4
'2759',MOUTH REPAIR NEC,4
'2761',SUTURE OF PALATE LACERAT,4
'2762',CLEFT PALATE CORRECTION,4
'2763',REVIS CLEFT PALAT REPAIR,4
'2764',INSERT PALATAL IMPLANT (Begin 2004),2
'2769',OTH PLASTIC REPAIR PALAT,4
'2771',INCISION OF UVULA,4
'2772',EXCISION OF UVULA,4
'2773',REPAIR OF UVULA,4
'2779',OTHER UVULA OPERATIONS,4
'2791',LABIAL FRENOTOMY,2
'2792',MOUTH INCISION NOS,4
'2799',ORAL CAVITY OPS NEC,4
'280 ',PERITONSILLAR I & D,4
'2811',TONSIL&ADENOID BIOPSY,3
'2819',TONSIL&ADENOID DX OP NEC,3
'282 ',TONSILLECTOMY,4
'283 ',TONSILLECTOMY/ADENOIDEC,4
'284 ',EXCISION OF TONSIL TAG,4
'285 ',EXCISION LINGUAL TONSIL,4
'286 ',ADENOIDECTOMY,4
'287 ',HEMORR CONTRL POST T & A,4
'2891',INCIS TO REMOV TONSIL FB,4
'2892',EXCIS TONSIL/ADENOID LES,4
'2899',TONSIL/ADENOID OPS NEC,4
'290 ',PHARYNGOTOMY,4
'2911',PHARYNGOSCOPY,1
'2912',PHARYNGEAL BIOPSY,1
'2919',PHARYNGEAL DX PROC NEC,1
'292 ',EXC BRANCHIAL CLEFT CYST,4
'293 ',DESTRUCT PHARYNGEAL LES (Begin 1980 End 1991),4
'2931',CRICOPHARYNGEAL MYOTOMY (Begin 1991),4
'2932',PHARYNGEAL DIVERTICULEC (Begin 1991),4
'2933',PHARYNGECTOMY (Begin 1991),4
'2939',EXCIS/DESTR LES PHAR NEC (Begin 1991),4
'294 ',PLASTIC OP ON PHARYNX,4
'2951',SUTURE OF PHARYNGEAL LAC,4
'2952',CLOS BRANCH CLEFT FISTUL,4
'2953',CLOS PHARYNX FISTULA NEC,4
'2954',LYSIS PHARYNGEAL ADHES,4
'2959',PHARYNGEAL REPAIR NEC,4
'2991',PHARYNGEAL DILATION,2
'2992',DIVIS GLOSSOPHARYNG NERV,4
'2999',PHARYNGEAL OPERATION NEC,4
'3001',LARYNX CYST MARSUPIALIZ,4
'3009',DESTRUCT LARYNX LES NEC,4
'301 ',HEMILARYNGECTOMY,4
'3021',EPIGLOTTIDECTOMY,4
'3022',VOCAL CORDECTOMY,4
'3029',OTHER PART LARYNGECTOMY,4
'303 ',COMPLETE LARYNGECTOMY,4
'304 ',RADICAL LARYNGECTOMY,4
'310 ',INJECTION OF LARYNX,2
'311 ',TEMPORARY TRACHEOSTOMY,2
'3121',MEDIASTINAL TRACHEOSTOMY,4
'3129',OTHER PERM TRACHEOSTOMY,4
'313 ',INCIS LARYNX TRACHEA NEC,4
'3141',TRACHEOSCOPY THRU STOMA,1
'3142',LARYGNOSCOPY/TRACHEOSCOP,1
'3143',(CLOSED) BIOPSY LARYNX (Begin 1980),1
'3144',(CLOSED) BIOPSY TRACHEA (Begin 1980),1
'3145',OPN BX LARYNX OR TRACHEA (Begin 1988),3
'3148',OTH LARYNX DX PROCEDURE,1
'3149',OTH TRACHEA DX PROCEDURE,1
'315 ',LOCAL DESTRUC TRACH LES,4
'3161',SUTURE OF LARYNGEAL LAC,4
'3162',LARYNGEAL FISTULA CLOS,4
'3163',LARYNGOSTOMY REVISION,4
'3164',LARYNGEAL FX REPAIR,4
'3169',OTHER LARYNGEAL REPAIR,4
'3171',SUTURE OF TRACHEAL LACER,4
'3172',CLOSURE OF TRACHEOSTOMY,4
'3173',TRACHEA FISTULA CLOS NEC,4
'3174',REVISION OF TRACHEOSTOMY,4
'3175',TRACHEAL RECONSTRUCTION,4
'3179',OTHER TRACHEAL REPAIR,4
'3191',LARYNGEAL NERV DIVISION,4
'3192',LYSIS TRACH/LARYNX ADHES,4
'3193',REPLACE TRAC/LARYN STENT,2
'3194',TRACHEAL INJECTION,2
'3195',TRACHEOESOPH FISTULIZAT (Begin 1989),2
'3198',OTH LARYNGEAL OPERATION,4
'3199',OTHER TRACHEAL OPERATION,4
'320 ',LOCAL EXCIS DESTR BRONC LES (End 1989),4
'3201',ENDOSC DESTRUC BRONC LES (Begin 1989),2
'3209',OTHER DESTRUC BRONC LES (Begin 1989),4
'321 ',OTHER BRONCHIAL EXCISION,4
'3220',THORAC EXC LUNG LESION (Begin 2007),4
'3221',EMPHYSEMA BLEB PLICATION,4
'3222',LUNG VOL REDUCT SURG (Begin 1995),4
'3223',OPEN ABLTN LUNG LES/TISS (Begin 2006),4
'3224',PERC ABLTN LUNG LES/TISS (Begin 2006),4
'3225',THOR ABLTN LUNG LES/TISS (Begin 2006),4
'3226',ABLTN LUNG TISS NEC/NOS  (Begin 2006),4
'3227',BRNC THRMPLSTYABLT MSCL (Begin 2010),4
'3228',ENDOSC DESTRUC LUNG LES (Begin 1989),2
'3229',DESTROY LOC LUNG LES NEC,4
'323 ',SEGMENTAL LUNG RESECTION (End 2007),4
'3230',THORAC SEG LUNG RESECT (Begin 2007),4
'3239',OTH SEG LUNG RESECT NOS (Begin 2007),4
'324 ',LOBECTOMY OF LUNG (End 2007),4
'3241',THORAC LOBECTOMY LUNG (Begin 2007),4
'3249',LOBECTOMY OF LUNG NEC (Begin 2007),4
'325 ',COMPLETE PNEUMONECTOMY (End 2007),4
'3250',THORACOSPC PNEUMONECTOMY (Begin 2007),4
'3259',OTHER PNEUMONECTOMY NOS (Begin 2007),4
'326 ',RAD DISSEC THORAC STRUCT,4
'329 ',OTHER EXCISION OF LUNG,4
'330 ',INCISION OF BRONCHUS,4
'331 ',INCISION OF LUNG,4
'3320',THORACOSCOPC LUNG BIOPSY (Begin 2007),3
'3321',BRONCHOSCOPY THRU STOMA,1
'3322',FIBEROPTIC BRONCHOSCOPY,1
'3323',OTHER BRONCHOSCOPY,1
'3324',CLOSED BRONCHIAL BIOPSY,1
'3325',OPEN BRONCHIAL BIOPSY,3
'3326',CLOSED LUNG BIOPSY,1
'3327',CLOS ENDOSCOPIC LUNG BX (Begin 1987),3
'3328',OPEN LUNG BIOPSY (Begin 1987),3
'3329',BRONCH/LUNG DX PROC NEC (Begin 1987),3
'3331',DESTR PHRENLUNG COLLAPS,2
'3332',PNEMOTHORAXLUNG COLLAPS,2
'3333',PNEUMOPERITLUNG COLLAPS,2
'3334',THORACOPLASTY,4
'3339',SURG COLLAPS OF LUNG NEC,4
'3341',BRONCHIAL LACERAT SUTURE,4
'3342',BRONCHIAL FISTULA CLOS,4
'3343',LUNG LACERATION CLOSURE,4
'3348',BRONCHIAL REPAIR NEC,4
'3349',LUNG REPAIR NEC,4
'335 ',LUNG TRANSPLANT (End 1995),4
'3350',LUNG TRANSPL NOS (Begin 1995),4
'3351',UNILAT LUNG TRANSPL (Begin 1995),4
'3352',BILAT LUNG TRANSPL (Begin 1995),4
'336 ',COMB HEART/LUNG TRANSPLA (Begin 1990),4
'3371',ENDO INSRT/REPL BRON VAL (Begin 2006),2
'3372',ENDO PULM ARWY FLOW MSMT (begin 2008),2
'3373',Endo ins/re brnc valmul (begin 2009),2
'3378',ENDO REM BRONCH DEVC/SUB (Begin 2006),2
'3379',ENDO INSRT BRONC DEF/SUB (Begin 2006),2
'3391',BRONCHIAL DILATION,2
'3392',BRONCHIAL LIGATION,4
'3393',PUNCTURE OF LUNG,4
'3398',BRONCHIAL OPERATION NEC,4
'3399',LUNG OPERATION NEC,4
'3401',INCISION OF CHEST WALL,2
'3402',EXPLORATORY THORACOTOMY,4
'3403',REOPEN THORACOTOMY SITE,4
'3404',INSERT INTERCOSTAL CATH,2
'3405',CREATION PLEUROPERITONEAL SH (Begin 1994),2
'3406',THORAC DRAIN PLEURL CAV (Begin 2007),4
'3409',OTHER PLEURAL INCISION,2
'341 ',INCISION OF MEDIASTINUM,4
'3420',THORACOSCOPIC PLEURAL BX (Begin 2007),3
'3421',TRANSPLEURA THORACOSCOPY,3
'3422',MEDIASTINOSCOPY,3
'3423',CHEST WALL BIOPSY,1
'3424',PLEURAL BIOPSY,1
'3425',CLOS MEDIASTINAL BIOPSY,1
'3426',OPEN MEDIASTINAL BIOPSY,3
'3427',BIOPSY OF DIAPHRAGM,3
'3428',DX PROCEDURE THORAX NEC,3
'3429',DX PROC MEDIASTINUM NEC,3
'343 ',DESTRUCT MEDIASTIN LES,4
'344 ',DESTRUCT CHEST WALL LES,4
'3451',DECORTICATION OF LUNG,4
'3452',THORACOSCOPC DECORT LUNG (Begin 2007),4
'3459',OTHER PLEURAL EXCISION,4
'346 ',SCARIFICATION OF PLEURA,4
'3471',SUTURE CHEST WALL LACER,2
'3472',THORACOSTOMY CLOSURE,2
'3473',CLOS THORACIC FISTUL NEC,4
'3474',PECTUS DEFORMITY REPAIR,4
'3479',OTHER CHEST WALL REPAIR,4
'3481',EXCISE DIAPHRAGM LESION,4
'3482',SUTURE DIAPHRAGM LACERAT,4
'3483',CLOSE DIAPHRAGM FISTULA,4
'3484',OTHER DIAPHRAGM REPAIR,4
'3485',IMPLANT DIAPHRA PACEMAKE,4
'3489',DIAPHRAGM OPERATION NEC,4
'3491',THORACENTESIS,2
'3492',INJECT INTO THORAX CAVIT,2
'3493',REPAIR OF PLEURA,4
'3499',THORACIC OPERATION NEC,4
'3500',CLOSED VALVOTOMY NOS,4
'3501',CLOSED AORTIC VALVOTOMY,4
'3502',CLOSED MITRAL VALVOTOMY,4
'3503',CLOSED PULMON VALVOTOMY,4
'3504',CLOSED TRICUSP VALVOTOMY,4
'3505',ENDOVAS REPL AORTC VALVE (Begin 2011),4
'3506',TRNSAPCL REP AORTC VALVE (Begin 2011),4
'3507',ENDOVAS REPL PULM VALVE (Begin 2011),4
'3508',TRNSAPCL REPL PULM VALVE (Begin 2011),4
'3509',ENDOVAS REPL UNS HRT VLV (Begin 2011),4
'3510',OPEN VALVULOPLASTY NOS,4
'3511',OPN AORTIC VALVULOPLASTY,4
'3512',OPN MITRAL VALVULOPLASTY,4
'3513',OPN PULMON VALVULOPLASTY,4
'3514',OPN TRICUS VALVULOPLASTY,4
'3520',REPLACE HEART VALVE NOS,4
'3521',REPLACE AORT VALVTISSUE,4
'3522',REPLACE AORTIC VALVE NEC,4
'3523',REPLACE MITR VALVTISSUE,4
'3524',REPLACE MITRAL VALVE NEC,4
'3525',REPLACE PULM VALVTISSUE,4
'3526',REPLACE PULMON VALVE NEC,4
'3527',REPLACE TRIC VALVTISSUE,4
'3528',REPLACE TRICUSP VALV NEC,4
'3531',PAPILLARY MUSCLE OPS,4
'3532',CHORDAE TENDINEAE OPS,4
'3533',ANNULOPLASTY,4
'3534',INFUNDIBULECTOMY,4
'3535',TRABECUL CARNEAE CORD OP,4
'3539',TISS ADJ TO VALV OPS NEC,4
'3541',ENLARGE EXISTINGDEF,2
'3542',CREATE SEPTAL DEFECT,4
'3550',PROSTH REP HRT SEPTA NOS,4
'3551',PROS REP ATRIAL DEFOPN,4
'3552',PROS REPAIR ATRIA DEFCL,4
'3553',PROST REPAIR VENTRIC DEF,4
'3554',PROS REP ENDOCAR CUSHION,4
'3555',PROS REP VENTRC DEF-CLOS (Begin 2006),4
'3560',GRFT REPAIR HRT SEPT NOS,4
'3561',GRAFT REPAIR ATRIAL DEF,4
'3562',GRAFT REPAIR VENTRIC DEF,4
'3563',GRFT REP ENDOCAR CUSHION,4
'3570',HEART SEPTA REPAIR NOS,4
'3571',ATRIA SEPTA DEF REP NEC,4
'3572',VENTR SEPTA DEF REP NEC,4
'3573',ENDOCAR CUSHION REP NEC,4
'3581',TOT REPAIR TETRAL FALLOT,4
'3582',TOTAL REPAIR OF TAPVC,4
'3583',TOT REP TRUNCUS ARTERIOS,4
'3584',TOT COR TRANSPOS GRT VES (Begin 1988),4
'3591',INTERAT VEN RETRN TRANSP,4
'3592',CONDUIT RT VENTPUL ART,4
'3593',CONDUIT LEFT VENTRAORTA,4
'3594',CONDUIT ARTIUMPULM ART,4
'3595',HEART REPAIR REVISION,4
'3596',PERC HEART VALVULOPLASTY (Begin 1986),4
'3597',PERC MTRL VLV REPR W IMP (Begin 2010),4
'3598',OTHER HEART SEPTA OPS,4
'3599',OTHER HEART VALVE OPS,4
'3600',REM OBSTR NOS (Begin 1986 End 1991),4
'3601',PTCA1 VESSEL W/O AGENT (Begin 1986 End 2005),4
'3602',PTCA1 VESSEL WITH AGNT (Begin 1986 End 2005),4
'3603',OPEN CORONRY ANGIOPLASTY (Begin 1986),4
'3604',INTRCORONRY THROMB INFUS (Begin 1986),2
'3605',PTCAMULTIPLE VESSEL (Begin 1986 End 2005),4
'3606',INSERT CORON ART STENT (Begin 1995),2
'3607',INSERT DRUGELUTING CRNRY AR (Begin 2002),2
'3609',(OTH)REM COR ART OBST(NEC) (Begin 1986),4
'3610',AORTOCORONARY BYPASS NOS,4
'3611',AORTOCOR BYPAS1 COR ART,4
'3612',AORTOCOR BYPAS2 COR ART,4
'3613',AORTOCOR BYPAS3 COR ART,4
'3614',AORTCOR BYPAS4+ COR ART,4
'3615',1 INT MAMCOR ART BYPASS,4
'3616',2 INT MAMCOR ART BYPASS,4
'3617',ABDCORON ART BYPASS (Begin 1996),4
'3619',HRT REVAS BYPS ANAS NEC,4
'362 ',ARTERIAL IMPLANT REVASC,4
'363 ',HEART REVASCULARIZAT NEC (End 1998),4
'3631',OPEN CHEST TRANSMYO REVASC (Begin 1998),4
'3632',OTH TRANSMYO REVASC (Begin 1998),4
'3633',ENDO TRANSMYO REVASCULAR (Begin 2006),4
'3634',PERC TRANSMYO REVASCULAR (Begin 2006),4
'3639',OTHER HEART REVASC (Begin 1998),4
'3691',CORON VESS ANEURYSM REP,4
'3699',HEART VESSEL OP NEC,4
'370 ',PERICARDIOCENTESIS,2
'3710',INCISION OF HEART NOS,4
'3711',CARDIOTOMY,4
'3712',PERICARDIOTOMY,4
'3720',NONINVAS ELECT STIMULATN (Begin 2006),1
'3721',RT HEART CARDIAC CATH,1
'3722',LEFT HEART CARDIAC CATH,1
'3723',RT/LEFT HEART CARD CATH,1
'3724',PERICARDIAL BIOPSY,3
'3725',CARDIAC BIOPSY,1
'3726',CARDIAC ELECTROPHY STIM (Begin 1988),1
'3727',CARDIAC MAPPING (Begin 1988),1
'3728',INTRACARDIAC ECHOCARDIOGRAPH (Begin 2001),1
'3729',HRT/PERICAR DX PROC NEC,1
'3731',PERICARDIECTOMY,4
'3732',HEART ANEURYSM EXCISION,4
'3733',EXC(/DEST) OTH HRT LESION (Begin 1980),4
'3734',CATH ABLATION LES HEART (Begin 1988),4
'3735',PARTIAL VENTRICULECTOMY (Begin 1997),4
'3736',EXC LEFT ATRIAL APPENDAG (begin 2008),2
'3737',EXC/DEST HRT LES THRSPC (Begin 2010),4
'374 ',HEART & PERICARD REPAIR,4
'3741',IMPL CARDIAC SUPPORT DEV (Begin 2005),4
'3749',HEART/PERICARD REPR NEC (Begin 2005),4
'375 ',HEART TRANSPLANTATION (End 2003),4
'3751',HEART TRANSPLANTATION (Begin 2003),4
'3752',IMPLANT TOTAL HEART REPLACEM (Begin 2003),4
'3753',REPLACE THORACIC UNIT TOTAL (Begin 2003),4
'3754',REPLACE OTHER COMPONENT HEAR (Begin 2003),4
'3755',REM INT BIVENT HRT SYS (begin 2008),4
'3760',IMP BIVN EXT HRT AST SYS (begin 2008),4
'3761',PULSATION BALLOON IMPLAN,4
'3762',IMPLANT HRT ASST SYS NEC,4
'3763',REPLACE HRT ASSIST SYST,4
'3764',REMOVE HEART ASSIST SYS,4
'3765',IMPL EXTERN HEART ASSIST (Begin 1995),4
'3766',IMPL INTERN HEART ASSIST (Begin 1995),4
'3767',IMPLANT CARDIOMYOSTIM SYS (Begin 1998),4
'3768',PERCUTAN HRT ASSIST SYST (Begin 2004),4
'3770',INT INSERT PACEMAK LEAD (Begin 1987),2
'3771',INT INSERT LEAD IN VENT (Begin 1987),2
'3772',INT INSER LEAD ATRIVENT (Begin 1987),2
'3773',INT INSER LEAD IN ATRIUM (Begin 1987),2
