ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,form,route,strength,strength_uom,package_size,manufacturer,startdate,enddate,status
24200026047,fentanyl citrate-dextrose,dextrose; fentanyl citrate,fentanyl,NA,NA,NA,5%-15 mcg/ml,NA,1,NA,NA,NA,NA
24200026066,fentanyl citrate-dextrose,dextrose; fentanyl citrate,fentanyl,NA,NA,NA,5%-15 mcg/ml,NA,1,NA,NA,NA,NA
24200026110,fentanyl citrate-dextrose,dextrose; fentanyl citrate,fentanyl,NA,NA,NA,5%-10 mcg/ml,NA,1,NA,NA,NA,NA
24200026380,fentanyl citrate-dextrose,dextrose; fentanyl citrate,fentanyl,NA,NA,NA,5%-20 mcg/ml,NA,1,NA,NA,NA,NA
24200026444,fentanyl citrate-dextrose,dextrose; fentanyl citrate,fentanyl,NA,NA,NA,5%-5 mcg/ml,NA,1,NA,NA,NA,NA
24200026447,fentanyl citrate-dextrose,dextrose; fentanyl citrate,fentanyl,NA,NA,NA,5%-5 mcg/ml,NA,1,NA,NA,NA,NA
24200026466,fentanyl citrate-dextrose,dextrose; fentanyl citrate,fentanyl,NA,NA,NA,5%-5 mcg/ml,NA,1,NA,NA,NA,NA
24200027503,methadone in 0.9 % sod. chlor,methadone,methadone,NA,solution,intravenous,1,mg/ml,50,ameridose llc,NA,NA,inactive
24200028149,methadone,methadone,methadone,NA,syringe,oral,5,mg/5 ml,5,ameridose llc,NA,NA,inactive
24200028363,methadone,methadone,methadone,NA,syringe,oral,10,mg/ml,1,ameridose llc,NA,NA,inactive
24200028507,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,10 mcg/ml-0.9%,NA,1,NA,NA,NA,NA
24200028980,hydromorphone-bupiv (pf)-nacl,hydromorphone,hydromorphone,NA,syringe,epidural,10 mcg/ml,-0.125 %,50,ameridose llc,NA,NA,inactive
24200029203,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.2 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029261,hydromorphone (pf)-0.9% nacl,hydromorphone,hydromorphone,NA,patient control.analgesia soln,intravenous,6 mg/30 ml,(0.2 mg/ml),30,ameridose llc,NA,NA,active
24200029262,hydromorphone (pf)-0.9% nacl,hydromorphone,hydromorphone,NA,pt controlled analgesia syring,intravenous,5 mg/25 ml,(0.2 mg/ml),25,ameridose llc,NA,NA,inactive
24200029264,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.2 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029265,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.2 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029266,hydromorphone (pf)-0.9% nacl,hydromorphone,hydromorphone,NA,pt controlled analgesia syring,intravenous,6 mg/30 ml,(0.2 mg/ml),30,ameridose llc,NA,NA,active
24200029272,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.2 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029273,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.2 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029281,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.2 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029282,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.2 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029283,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.2 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029290,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.2 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029292,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.2 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029293,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.2 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029361,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029364,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029404,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.4 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029461,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.4 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029464,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.4 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029466,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.4 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029483,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.4 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029490,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.4 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029603,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029604,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029645,hydromorphone (pf)-0.9% nacl,hydromorphone,hydromorphone,NA,syringe,intravenous,1,mg/ml,1,ameridose llc,NA,NA,inactive
24200029662,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029665,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029666,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029672,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029673,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029680,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029681,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029682,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029686,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029690,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029692,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029693,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029704,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029705,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029761,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029764,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029766,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029773,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029780,hydromorphone (pf)-0.9% nacl,hydromorphone,hydromorphone,NA,pt controlled analgesia syring,intravenous,10 mg/50 ml,(0.2 mg/ml),50,ameridose llc,NA,NA,active
24200029781,hydromorphone (pf)-0.9% nacl,hydromorphone,hydromorphone,NA,pt controlled analgesia syring,intravenous,5.5 mg/55 ml,(0.1 mg/ml),55,ameridose llc,NA,NA,inactive
24200029783,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029804,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.2 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029805,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.2 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200029880,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.4 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200030045,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,2 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200030061,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,2 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200030064,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,2 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200030092,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,2 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200030104,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.5 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200030146,hydromorphone (pf)-0.9% nacl,hydromorphone,hydromorphone,NA,syringe,intravenous,1,mg/0.5 ml,.5,ameridose llc,NA,NA,inactive
24200030161,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.5 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200030164,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.5 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200030173,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.5 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200030180,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.5 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200030190,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.5 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200030780,hydromorphone hcl-sodium chloride,hydromorphone hydrochloride; sodium chloride,hydromorphone,NA,NA,NA,0.3 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200031010,hydromorphone hcl-bupivacaine hcl-sodium chloride,bupivacaine hcl; hydromorphone hcl; na cl,hydromorphone,NA,NA,NA,0.1%-10 mcg/ml-0.9%,NA,1,NA,NA,NA,NA
24200031088,hydromorphone hcl-bupivacaine hcl-sodium chloride,bupivacaine hcl; hydromorphone hcl; na cl,hydromorphone,NA,NA,NA,0.1%-10 mcg/ml-0.9%,NA,1,NA,NA,NA,NA
24200031111,hydromorphone hcl-bupivacaine hcl-sodium chloride,bupivacaine hcl; hydromorphone hcl; na cl,hydromorphone,NA,NA,NA,0.06%-20 mcg/ml-0.9%,NA,1,NA,NA,NA,NA
24200031311,hydromorphone hcl-bupivacaine hcl-sodium chloride,bupivacaine hcl; hydromorphone hcl; na cl,hydromorphone,NA,NA,NA,0.125%-20 mcg/ml-0.9%,NA,1,NA,NA,NA,NA
24200031410,hydromorphone hcl-bupivacaine hcl-sodium chloride,bupivacaine hcl; hydromorphone hcl; na cl,hydromorphone,NA,NA,NA,0.1%-20 mcg/ml-0.9%,NA,1,NA,NA,NA,NA
24200031945,morphine (pf) in 0.9 % nacl,morphine,morphine,NA,syringe,intravenous,10,mg/ml (1 ml),1,ameridose llc,NA,NA,inactive
24200032001,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200032003,morphine (pf) in 0.9 % nacl,morphine,morphine,NA,solution,intravenous,1,mg/ml,50,ameridose llc,NA,NA,active
24200032004,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200032005,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200032010,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200032044,morphine (pf) in 0.9 % nacl,morphine,morphine,NA,syringe,intravenous,2 mg/2 ml,(1 mg/ml),2,ameridose llc,NA,NA,active
24200032049,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,0.5 mg/0.5 ml-0.9%,NA,1,NA,NA,NA,NA
24200032073,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,0.5 mg/0.5 ml-0.9%,NA,1,NA,NA,NA,NA
24200032090,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200032092,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200032145,morphine (pf) in 0.9 % nacl,morphine,morphine,NA,syringe,intravenous,2,mg/ml,1,ameridose llc,NA,NA,inactive
24200032183,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,2 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200032227,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200032245,morphine (pf) in 0.9 % nacl,morphine,morphine,NA,syringe,intravenous,1,mg/ml,1,ameridose llc,NA,NA,active
24200032246,morphine (pf) in 0.9 % nacl,morphine,morphine,NA,syringe,injection,0.5,mg/0.5 ml,.5,ameridose llc,NA,NA,inactive
24200032262,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,0.5 mg/0.5 ml-0.9%,NA,1,NA,NA,NA,NA
24200032265,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,0.5 mg/0.5 ml-0.9%,NA,1,NA,NA,NA,NA
24200032272,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,0.5 mg/0.5 ml-0.9%,NA,1,NA,NA,NA,NA
24200032280,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,0.5 mg/0.5 ml-0.9%,NA,1,NA,NA,NA,NA
24200032281,morphine (pf) in 0.9 % nacl,morphine,morphine,NA,pt controlled analgesia syring,intravenous,55 mg/55 ml,(1 mg/ml),55,ameridose llc,NA,NA,active
24200032282,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,0.5 mg/0.5 ml-0.9%,NA,1,NA,NA,NA,NA
24200032283,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200032289,morphine (pf) in 0.9 % nacl,morphine,morphine,NA,syringe,intravenous,1,mg/ml,1,ameridose llc,NA,NA,active
24200032293,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,0.5 mg/0.5 ml-0.9%,NA,1,NA,NA,NA,NA
24200032404,morphine (pf) in dextrose 5 %,morphine,morphine,NA,solution,intravenous,100 mg/100 ml,(1 mg/ml),100,ameridose llc,NA,NA,active
24200032410,morphine-dextrose,dextrose; morphine sulfate,morphine,NA,NA,NA,5%-1 mg/ml,NA,1,NA,NA,NA,NA
24200032466,morphine-dextrose,dextrose; morphine sulfate,morphine,NA,NA,NA,5%-1 mg/ml,NA,1,NA,NA,NA,NA
24200032545,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,5 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200032564,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,5 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200032572,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,5 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200032580,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,5 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200032592,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,5 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200032597,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,5 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200032761,morphine (pf) in 0.9 % nacl,morphine,morphine,NA,patient control.analgesia soln,intravenous,30 mg/30 ml,(1 mg/ml),30,ameridose llc,NA,NA,inactive
24200032764,morphine (pf) in 0.9 % nacl,morphine,morphine,NA,patient control.analgesia soln,intravenous,30 mg/30 ml,(1 mg/ml),30,ameridose llc,NA,NA,inactive
24200032845,morphine concentrate,morphine,morphine,NA,syringe,oral,20,mg/ml,1,ameridose llc,NA,NA,active
24200032889,morphine concentrate,morphine,morphine,NA,syringe,oral,20,mg/ml,1,ameridose llc,NA,NA,active
24200032950,morphine (pf) in 0.9 % nacl,morphine,morphine,NA,syringe,intravenous,10 mg/10 ml,(1 mg/ml),10,ameridose llc,NA,NA,active
24200032966,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,0.5 mg/0.5 ml-0.9%,NA,1,NA,NA,NA,NA
24200033145,morphine (pf) in 0.9 % nacl,morphine,morphine,NA,syringe,intravenous,0.4,mg/ml,1,ameridose llc,NA,NA,inactive
24200033204,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,0.1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200033250,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,0.1 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200033545,morphine (pf) in 0.9 % nacl,morphine,morphine,NA,syringe,intravenous,4,mg/ml,1,ameridose llc,NA,NA,inactive
24200033845,morphine (pf) in 0.9 % nacl,morphine,morphine,NA,syringe,intravenous,0.5,mg/ml,1,ameridose llc,NA,NA,active
24200033850,morphine-sodium chloride,morphine sulfate; sodium chloride,morphine,NA,NA,NA,0.5 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200035901,meperidine hcl-sodium chloride,meperidine hydrochloride; sodium chloride,meperidine,NA,NA,NA,10 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200035903,meperidine hcl-sodium chloride,meperidine hydrochloride; sodium chloride,meperidine,NA,NA,NA,10 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200035904,meperidine hcl-sodium chloride,meperidine hydrochloride; sodium chloride,meperidine,NA,NA,NA,10 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200035905,meperidine hcl-sodium chloride,meperidine hydrochloride; sodium chloride,meperidine,NA,NA,NA,10 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200035965,meperidine hcl-sodium chloride,meperidine hydrochloride; sodium chloride,meperidine,NA,NA,NA,10 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200035966,meperidine hcl-sodium chloride,meperidine hydrochloride; sodium chloride,meperidine,NA,NA,NA,10 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200035973,meperidine hcl-sodium chloride,meperidine hydrochloride; sodium chloride,meperidine,NA,NA,NA,10 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200035980,meperidine hcl-sodium chloride,meperidine hydrochloride; sodium chloride,meperidine,NA,NA,NA,10 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200035981,meperidine in 0.9 % nacl,meperidine,meperidine,NA,pt controlled analgesia syring,intravenous,550 mg/55 ml,(10 mg/ml),55,ameridose llc,NA,NA,active
24200035982,meperidine hcl-sodium chloride,meperidine hydrochloride; sodium chloride,meperidine,NA,NA,NA,10 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200035990,meperidine hcl-sodium chloride,meperidine hydrochloride; sodium chloride,meperidine,NA,NA,NA,10 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200035992,meperidine hcl-sodium chloride,meperidine hydrochloride; sodium chloride,meperidine,NA,NA,NA,10 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200035993,meperidine hcl-sodium chloride,meperidine hydrochloride; sodium chloride,meperidine,NA,NA,NA,10 mg/ml-0.9%,NA,1,NA,NA,NA,NA
24200036280,sufentanil citrate-ropivacaine hcl-sodium chloride,na cl; ropivacaine hcl; sufentanil citrate,sufentanil,NA,NA,NA,0.2%-0.9%-0.25 mcg/ml,NA,1,NA,NA,NA,NA
24200036805,sufentanil citrate-ropivacaine hcl-sodium chloride,na cl; ropivacaine hcl; sufentanil citrate,sufentanil,NA,NA,NA,0.25%-0.9%-0.5 mcg/ml,NA,1,NA,NA,NA,NA
24200037004,sufentanil citrate-ropivacaine hcl-sodium chloride,na cl; ropivacaine hcl; sufentanil citrate,sufentanil,NA,NA,NA,0.1%-0.9%-1 mcg/ml,NA,1,NA,NA,NA,NA
24200037602,sufentanil citrate-bupivacaine hcl-sodium chloride,bupivacaine hcl; na cl; sufentanil citrate,sufentanil,NA,NA,NA,0.25%-0.9%-0.82 mcg/ml,NA,1,NA,NA,NA,NA
24200037710,sufentanil citrate-bupivacaine hcl-sodium chloride,bupivacaine hcl; na cl; sufentanil citrate,sufentanil,NA,NA,NA,0.1%-0.9%-0.4 mcg/ml,NA,1,NA,NA,NA,NA
24200038204,sufentanil citrate-bupivacaine hcl-sodium chloride,bupivacaine hcl; na cl; sufentanil citrate,sufentanil,NA,NA,NA,0.1%-0.9%-1 mcg/ml,NA,1,NA,NA,NA,NA
24200038390,sufentanil citrate-bupivacaine hcl-sodium chloride,bupivacaine hcl; na cl; sufentanil citrate,sufentanil,NA,NA,NA,0.125%-0.9%-1.5 mcg/ml,NA,1,NA,NA,NA,NA
24200041644,remifentanil hydrochloride,remifentanil hydrochloride,remifentanil,NA,NA,NA,50 mcg/ml,NA,1,NA,NA,NA,NA
24200042910,fentanyl/bupivacaine/sodium chloride,bupivacaine hcl; fentanyl citrate; na cl,fentanyl,NA,NA,NA,0.125%-2 mcg/ml-0.9%,NA,1,NA,NA,NA,NA
24200042912,fentanyl/bupivacaine/sodium chloride,bupivacaine hcl; fentanyl citrate; na cl,fentanyl,NA,NA,NA,0.125%-2 mcg/ml-0.9%,NA,1,NA,NA,NA,NA
24200043010,fentanyl/bupivacaine/sodium chloride,bupivacaine hcl; fentanyl citrate; na cl,fentanyl,NA,NA,NA,0.0625%-4 mcg/ml-0.9%,NA,1,NA,NA,NA,NA
24200043104,fentanyl/bupivacaine/sodium chloride,bupivacaine hcl; fentanyl citrate; na cl,fentanyl,NA,NA,NA,0.0625%-2 mcg/ml-0.9%,NA,1,NA,NA,NA,NA
24200043110,fentanyl (pf)-bupivacaine-nacl,fentanyl; combinations,fentanyl,NA,solution,injection,2 mcg/ml-,0.0625 %,250,ameridose llc,NA,NA,active
24200043180,fentanyl/bupivacaine/sodium chloride,bupivacaine hcl; fentanyl citrate; na cl,fentanyl,NA,NA,NA,0.0625%-2 mcg/ml-0.9%,NA,1,NA,NA,NA,NA
24200043204,fentanyl (pf)-bupivacaine-nacl,fentanyl; combinations,fentanyl,NA,solution,injection,2 mcg/ml-,0.125 %,100,ameridose llc,NA,NA,active
24200043205,fentanyl/bupivacaine/sodium chloride,bupivacaine hcl; fentanyl citrate; na cl,fentanyl,NA,NA,NA,0.125%-2 mcg/ml-0.9%,NA,1,NA,NA,NA,NA
24200043207,fentanyl/bupivacaine/sodium chloride,bupivacaine hcl; fentanyl citrate; na cl,fentanyl,NA,NA,NA,0.125%-2 mcg/ml-0.9%,NA,1,NA,NA,NA,NA
24200043211,fentanyl/bupivacaine/sodium chloride,bupivacaine hcl; fentanyl citrate; na cl,fentanyl,NA,NA,NA,0.125%-2 mcg/ml-0.9%,NA,1,NA,NA,NA,NA
24200043280,fentanyl/bupivacaine/sodium chloride,bupivacaine hcl; fentanyl citrate; na cl,fentanyl,NA,NA,NA,0.125%-2 mcg/ml-0.9%,NA,1,NA,NA,NA,NA
24200043283,fentanyl/bupivacaine/sodium chloride,bupivacaine hcl; fentanyl citrate; na cl,fentanyl,NA,NA,NA,0.125%-2 mcg/ml-0.9%,NA,1,NA,NA,NA,NA
24200043288,fentanyl/bupivacaine/sodium chloride,bupivacaine hcl; fentanyl citrate; na cl,fentanyl,NA,NA,NA,0.125%-2 mcg/ml-0.9%,NA,1,NA,NA,NA,NA
24200043290,fentanyl/bupivacaine/sodium chloride,bupivacaine hcl; fentanyl citrate; na cl,fentanyl,NA,NA,NA,0.125%-2 mcg/ml-0.9%,NA,1,NA,NA,NA,NA
24200043410,fentanyl/bupivacaine/sodium chloride,bupivacaine hcl; fentanyl citrate; na cl,fentanyl,NA,NA,NA,0.1%-10 mcg/ml-0.9%,NA,1,NA,NA,NA,NA
24200043412,fentanyl/bupivacaine/sodium chloride,bupivacaine hcl; fentanyl citrate; na cl,fentanyl,NA,NA,NA,0.1%-10 mcg/ml-0.9%,NA,1,NA,NA,NA,NA
24200043504,fentanyl/bupivacaine/sodium chloride,bupivacaine hcl; fentanyl citrate; na cl,fentanyl,NA,NA,NA,0.125%-5 mcg/ml-0.9%,NA,1,NA,NA,NA,NA
